Drug,Gene
DB00357,1583
DB02901,1583
DB01234,1583
DB01026,1583
DB00857,1583
DB00390,1583
DB00257,1583
DB00338,1583
DB00882,1583
DB01437,1583
DB00917,1583
DB01396,1583
DB00169,1583
DB00624,1583
DB01232,1583
DB01238,1132
DB00246,1132
DB05752,1132
DB01625,1132
DB00835,1132
DB01224,1132
DB01239,1132
DB01591,1132
DB00747,1132
DB00376,1132
DB00458,1132
DB00725,1132
DB01151,1132
DB00334,1132
DB00715,1132
DB00540,1132
DB00934,1132
DB00342,1132
DB08897,1132
DB00785,1132
DB00321,1132
DB00568,1132
DB00363,1132
DB01069,1132
DB06702,1132
DB00424,1132
DB01142,1132
DB00340,1132
DB01036,1132
DB09076,1132
DB00767,1132
DB00572,1132
DB00454,1132
DB00408,1132
DB00726,1132
DB00622,1132
DB00496,1132
DB00420,1132
DB00387,1132
DB01403,1132
DB00543,1132
DB00809,1132
DB01221,1132
DB00777,1132
DB00186,2557
DB00475,2557
DB00543,2557
DB00599,2557
DB00801,2557
DB00402,2557
DB00753,2557
DB01215,2557
DB01544,2557
DB01589,2557
DB01028,2557
DB01558,2557
DB00463,2557
DB00898,2557
DB01354,2557
DB00241,2557
DB00231,2557
DB01189,2557
DB00189,2557
DB00228,2557
DB00842,2557
DB01049,2557
DB01352,2557
DB01595,2557
DB01351,2557
DB00897,2557
DB00829,2557
DB01708,2557
DB01588,2557
DB01483,2557
DB01355,2557
DB00818,2557
DB01236,2557
DB01205,2557
DB01068,2557
DB00292,2557
DB05087,2557
DB00628,2557
DB00349,2557
DB00237,2557
DB00849,2557
DB01353,2557
DB01159,2557
DB00418,2557
DB00312,2557
DB01107,2557
DB00690,2557
DB00273,2557
DB00404,2557
DB00794,2557
DB00306,2557
DB00334,2557
DB01437,2557
DB01496,2557
DB00659,2557
DB00683,2557
DB00371,2557
DB00338,1565
DB01151,1565
DB00185,1565
DB01074,1565
DB01095,1565
DB00343,1565
DB00361,1565
DB02701,1565
DB00398,1565
DB01392,1565
DB00989,1565
DB01562,1565
DB04905,1565
DB06204,1565
DB01234,1565
DB00571,1565
DB00703,1565
DB01156,1565
DB00531,1565
DB00836,1565
DB01028,1565
DB01410,1565
DB01576,1565
DB00501,1565
DB00960,1565
DB00259,1565
DB06216,1565
DB06701,1565
DB01005,1565
DB00613,1565
DB01577,1565
DB01029,1565
DB04855,1565
DB06148,1565
DB00257,1565
DB05812,1565
DB01096,1565
DB06287,1565
DB00490,1565
DB00918,1565
DB01232,1565
DB00983,1565
DB01611,1565
DB06292,1565
DB00409,1565
DB00674,1565
DB01023,1565
DB00757,1565
DB01624,1565
DB00349,1565
DB00972,1565
DB00332,1565
DB00215,1565
DB01429,1565
DB00169,1565
DB00679,1565
DB00731,1565
DB01071,1565
DB00734,1565
DB00598,1565
DB00647,1565
DB01149,1565
DB00521,1565
DB00633,1565
DB00454,1565
DB05271,1565
DB01192,1565
DB00475,1565
DB01104,1565
DB01238,1565
DB01193,1565
DB00184,1565
DB09065,1565
DB00220,1565
DB00373,1565
DB00921,1565
DB00201,1565
DB00472,1565
DB01244,1565
DB09049,1565
DB01175,1565
DB00243,1565
DB00956,1565
DB04889,1565
DB00699,1565
DB00604,1565
DB00850,1565
DB06727,1565
DB01628,1565
DB01136,1565
DB00726,1565
DB01079,1565
DB00656,1565
DB00612,1565
DB00195,1565
DB00412,1565
DB04871,1565
DB01087,1565
DB00482,1565
DB00321,1565
DB05109,1565
DB00976,1565
DB00285,1565
DB01698,1565
DB00843,1565
DB01184,1565
DB00834,1565
DB00448,1565
DB00176,1565
DB01075,1565
DB04868,1565
DB00433,1565
DB00908,1565
DB06016,1565
DB01623,1565
DB00188,1565
DB00805,1565
DB00297,1565
DB00951,1565
DB06603,1565
DB00575,1565
DB01035,1565
DB00283,1565
DB00227,1565
DB09570,1565
DB01621,1565
DB06203,1565
DB00528,1565
DB00914,1565
DB00530,1565
DB01114,1565
DB00381,1565
DB08881,1565
DB00503,1565
DB06589,1565
DB00818,1565
DB01228,1565
DB00245,1565
DB01426,1565
DB01233,1565
DB00557,1565
DB00748,1565
DB00752,1565
DB00967,1565
DB06678,1565
DB06729,1565
DB00295,1565
DB06800,1565
DB00281,1565
DB06691,1565
DB01093,1565
DB00574,1565
DB00532,1565
DB01424,1565
DB00358,1565
DB00458,1565
DB01062,1565
DB00738,1565
DB00342,1565
DB04946,1565
DB06702,1565
DB00623,1565
DB00234,1565
DB06144,1565
DB00336,1565
DB01128,1565
DB00543,1565
DB00625,1565
DB00706,1565
DB01195,1565
DB01058,1565
DB00590,1565
DB00589,1565
DB01274,1565
DB09068,1565
DB00835,1565
DB00317,1565
DB01107,1565
DB00619,1565
DB08918,1565
DB00637,1565
DB01076,1565
DB01132,1565
DB01026,1565
DB01142,1565
DB00468,1565
DB01206,1565
DB01601,1565
DB00276,1565
DB00455,1565
DB00344,1565
DB01100,1565
DB00924,1565
DB00705,1565
DB01435,1565
DB04841,1565
DB00950,1565
DB00907,1565
DB00661,1565
DB00268,1565
DB01472,1565
DB00622,1565
DB03783,1565
DB01201,1565
DB01118,1565
DB01437,1565
DB01466,1565
DB00514,1565
DB01191,1565
DB00370,1565
DB00540,1565
DB04840,1565
DB00667,1565
DB00675,1565
DB00627,1565
DB00715,1565
DB08899,1565
DB01182,1565
DB00211,1565
DB01131,1565
DB06770,1565
DB00191,1565
DB00175,1565
DB00318,1565
DB00427,1565
DB00889,1565
DB00379,1565
DB00193,1565
DB00477,1565
DB01197,1565
DB00933,1565
DB01551,1565
DB00857,1565
DB04844,1565
DB00570,1565
DB00091,1565
DB00852,1565
DB01218,1565
DB01267,1565
DB01224,1565
DB00182,1565
DB00810,1565
DB00608,1565
DB00289,1565
DB00568,1565
DB00496,1565
DB00238,1565
DB00296,1565
DB00751,1565
DB06726,1565
DB00549,1565
DB00641,1565
DB00246,1565
DB00264,1565
DB01110,1565
DB00439,1565
DB00502,1565
DB00327,1565
DB09076,1565
DB00592,1565
DB00224,1565
DB00701,1565
DB01388,1565
DB01037,1565
DB00988,1565
DB06697,1565
DB00932,1565
DB01159,1565
DB01166,1565
DB00497,1565
DB00216,1565
DB00333,1565
DB00377,1565
DB01186,1565
DB00316,1565
DB00866,1565
DB01403,1565
DB00476,1565
DB06708,1565
DB09048,1565
DB06684,1565
DB04861,1565
DB01409,1565
DB01235,1565
DB00356,1565
DB01242,1565
DB00203,1565
DB09039,1565
DB00997,1565
DB01177,1565
DB01129,1565
DB00792,1565
DB00422,1565
DB00763,1565
DB01012,1565
DB00205,1565
DB01167,1565
DB08893,1565
DB09128,1565
DB00396,1565
DB00567,1565
DB01036,1565
DB00277,1565
DB01580,1565
DB00209,1565
DB00943,1565
DB09053,1565
DB01069,1565
DB01171,1565
DB08868,1565
DB00334,1565
DB08901,1565
DB09291,1565
DB00904,1565
DB00863,1565
DB00363,1565
DB04920,1565
DB01115,1565
DB00934,1565
DB00425,1565
DB03128,1565
DB00208,1565
DB01151,150
DB00734,150
DB01018,150
DB00692,150
DB00408,150
DB00935,150
DB01577,150
DB00246,150
DB01186,150
DB08815,150
DB00397,150
DB01136,150
DB01624,150
DB01365,150
DB06711,150
DB00370,150
DB00968,150
DB05492,150
DB01472,150
DB00268,150
DB00363,150
DB00457,150
DB00633,150
DB00925,150
DB09202,150
DB06678,150
DB04948,150
DB00714,150
DB01363,150
DB00696,150
DB00334,150
DB00368,150
DB00321,150
DB00248,150
DB00668,150
DB06148,150
DB06623,150
DB00852,150
DB01392,150
DB01224,150
DB00320,150
DB00589,150
DB00865,150
DB01267,150
DB00575,150
DB00800,150
DB01238,150
DB00217,150
DB06216,150
DB01200,150
DB00964,150
DB00449,150
DB01142,150
DB01403,150
DB06262,150
DB04855,150
DB00182,150
DB00934,150
DB00413,150
DB00697,150
DB00484,150
DB01049,150
DB06694,150
DB00726,150
DB01608,150
DB00751,150
DB00797,150
DB00543,150
DB00540,150
DB00477,150
DB00656,150
DB00629,150
DB01149,150
DB01244,476
DB01345,476
DB01188,476
DB01021,476
DB01378,476
DB00774,476
DB01119,476
DB00903,476
DB01396,476
DB01370,476
DB01430,476
DB01092,476
DB01158,476
DB00511,476
DB01078,476
DB00390,476
DB01745,5644
DB06858,5644
DB07088,5644
DB03159,5644
DB04325,5644
DB06918,5644
DB07091,5644
DB04470,5644
DB02875,5644
DB02288,5644
DB04446,5644
DB06692,5644
DB01767,5644
DB01836,5644
DB02112,5644
DB04125,5644
DB03595,5644
DB02526,5644
DB02287,5644
DB07131,5644
DB08254,5644
DB03494,5644
DB01725,5644
DB02744,5644
DB06853,5644
DB03443,5644
DB02366,5644
DB03251,5644
DB03373,5644
DB03243,5644
DB01805,5644
DB08184,5644
DB01741,5644
DB02989,5644
DB01705,5644
DB07985,5644
DB01905,5644
DB04391,5644
DB04654,5644
DB08420,5644
DB03081,5644
DB04215,5644
DB06923,5644
DB04246,5644
DB02463,5644
DB02269,5644
DB04442,5644
DB02812,5644
DB04792,5644
DB03127,5644
DB01939,5644
DB03876,5644
DB04432,5644
DB07368,5644
DB03608,5644
DB04336,5644
DB04790,5644
DB04791,5644
DB04238,5644
DB03213,5644
DB03555,5644
DB03136,5644
DB07229,5644
DB03016,5644
DB04410,5644
DB01737,5644
DB02084,5644
DB07491,5644
DB02464,5644
DB06845,5644
DB03643,5644
DB01771,5644
DB01876,5644
DB06850,5644
DB02354,5644
DB02081,5644
DB04008,5644
DB08763,5644
DB04311,5644
DB03337,5644
DB02063,5644
DB03417,5644
DB02435,5644
DB02045,5644
DB04424,5644
DB02665,5644
DB03865,5644
DB04563,5644
DB07095,5644
DB01665,5644
DB04269,5644
DB03173,5644
DB04301,5644
DB06840,5644
DB02193,5644
DB03976,5644
DB04107,5644
DB03374,5644
DB04793,5644
DB01996,4314
DB03033,4314
DB07390,4314
DB07987,4314
DB02367,4314
DB07988,4314
DB07986,4314
DB01877,4314
DB08029,4314
DB08507,4314
DB02449,4314
DB08643,4314
DB03368,4314
DB02350,4314
DB04416,4314
DB04232,4314
DB00786,4314
DB02697,4314
DB04140,4314
DB02090,4314
DB08271,4314
DB08030,4314
DB00133,189
DB02079,189
DB00114,189
DB08060,189
DB04083,189
DB00160,189
DB00145,189
DB00163,2947
DB00143,2947
DB06777,1576
DB00356,1576
DB00243,1576
DB00820,1576
DB00744,1576
DB00439,1576
DB00655,1576
DB09053,1576
DB06616,1576
DB01198,1576
DB09082,1576
DB01142,1576
DB01039,1576
DB00520,1576
DB04574,1576
DB00540,1576
DB01393,1576
DB01268,1576
DB01087,1576
DB00169,1576
DB00564,1576
DB00361,1576
DB00531,1576
DB00973,1576
DB09102,1576
DB01173,1576
DB01059,1576
DB01136,1576
DB01551,1576
DB00377,1576
DB00528,1576
DB00584,1576
DB04845,1576
DB05812,1576
DB00700,1576
DB00637,1576
DB00250,1576
DB08873,1576
DB01601,1576
DB06282,1576
DB00943,1576
DB01275,1576
DB01200,1576
DB00343,1576
DB01192,1576
DB01587,1576
DB06237,1576
DB00912,1576
DB00239,1576
DB09330,1576
DB00324,1576
DB01229,1576
DB00751,1576
DB00318,1576
DB00877,1576
DB00401,1576
DB00215,1576
DB00932,1576
DB01267,1576
DB01628,1576
DB03701,1576
DB00763,1576
DB01380,1576
DB01221,1576
DB06712,1576
DB09078,1576
DB00850,1576
DB01431,1576
DB06335,1576
DB06016,1576
DB00180,1576
DB01149,1576
DB08903,1576
DB05271,1576
DB00327,1576
DB00347,1576
DB06772,1576
DB00741,1576
DB01030,1576
DB01137,1576
DB00883,1576
DB00301,1576
DB01083,1576
DB06212,1576
DB02701,1576
DB01114,1576
DB01227,1576
DB00530,1576
DB00724,1576
DB01016,1576
DB09083,1576
DB00860,1576
DB01074,1576
DB01058,1576
DB00398,1576
DB00545,1576
DB01698,1576
DB01011,1576
DB00780,1576
DB01190,1576
DB06228,1576
DB00593,1576
DB00889,1576
DB01062,1576
DB00836,1576
DB06738,1576
DB01232,1576
DB00485,1576
DB04846,1576
DB09101,1576
DB00656,1576
DB00674,1576
DB08820,1576
DB00705,1576
DB00346,1576
DB06710,1576
DB01032,1576
DB01194,1576
DB08828,1576
DB01589,1576
DB00197,1576
DB00333,1576
DB08883,1576
DB00865,1576
DB00802,1576
DB04835,1576
DB01435,1576
DB01110,1576
DB00231,1576
DB01392,1576
DB08932,1576
DB00906,1576
DB00379,1576
DB04920,1576
DB00254,1576
DB00559,1576
DB00294,1576
DB00175,1576
DB00546,1576
DB00794,1576
DB01008,1576
DB00907,1576
DB00615,1576
DB08827,1576
DB00381,1576
DB00495,1576
DB01179,1576
DB01181,1576
DB00246,1576
DB00622,1576
DB00696,1576
DB00608,1576
DB00285,1576
DB08816,1576
DB00946,1576
DB06697,1576
DB00625,1576
DB00635,1576
DB00440,1576
DB00976,1576
DB00918,1576
DB00342,1576
DB01764,1576
DB00602,1576
DB01127,1576
DB01072,1576
DB00813,1576
DB00703,1576
DB00778,1576
DB01028,1576
DB00477,1576
DB04905,1576
DB00783,1576
DB04828,1576
DB01224,1576
DB01333,1576
DB01105,1576
DB06209,1576
DB08864,1576
DB06702,1576
DB00184,1576
DB00224,1576
DB00321,1576
DB01215,1576
DB00872,1576
DB01217,1576
DB00193,1576
DB00468,1576
DB00286,1576
DB00499,1576
DB01223,1576
DB00518,1576
DB00980,1576
DB01410,1576
DB01206,1576
DB05773,1576
DB00814,1576
DB00571,1576
DB04856,1576
DB00455,1576
DB01588,1576
DB06287,1576
DB00589,1576
DB00199,1576
DB04871,1576
DB01118,1576
DB00869,1576
DB00240,1576
DB01595,1576
DB01218,1576
DB00289,1576
DB04938,1576
DB06216,1576
DB01128,1576
DB01361,1576
DB00273,1576
DB03783,1576
DB00717,1576
DB05109,1576
DB01238,1576
DB01098,1576
DB01201,1576
DB00925,1576
DB00675,1576
DB00972,1576
DB00604,1576
DB04868,1576
DB01131,1576
DB01001,1576
DB09074,1576
DB01156,1576
DB01263,1576
DB00433,1576
DB01023,1576
DB00503,1576
DB00567,1576
DB06708,1576
DB00769,1576
DB01054,1576
