From	To
A0A087WZV0	23262
P11464	5669
Q92945	8570
Q6ISS4	3904
Q96RU8	10221
O94986	22995
Q6P1J9	79577
J3KSP0	348235
A0A087WYZ4	1081
Q9UKN8	9329
A0A087WXW9	1289
Q92696	5875
P22033	4594
A0A087WWT6	862
A0A087WT39	54923
Q8N6K0	121793
O95628	4850
O60832	1736
A0A087WV34	112770
E9PD53	10051
Q14116	3606
A6PW57	8394
P05091	217
O43164	9867
Q9UBR5	51192
P36639	4521
O95243	8930
Q14832	2913
P55072	7415
Q9UL25	23011
Q9BW71	8479
O43768	2029
O75323	2631
O60603	7097
P32004	3897
H3BN99	2595
Q9H307	5411
Q8TF05	9989
Q6NUJ5	170394
Q8WY91	51078
P54646	5563
Q9NRX2	63875
P07451	761
P67936	7171
Q13257	4085
P78348	41
Q15059	8019
Q02410	320
A0A087WZ70	80896
A0A0A0MRL7	840
A0A0A6YYA8	1139
A0A0A6YYA8	89832
P68371	10383
P53602	4597
Q16576	5931
P35251	5981
O75449	11104
P26196	1656
Q96EY8	326625
Q96KN1	157638
Q9Y248	51659
P11169	6515
Q8N1Q1	377677
O15399	2906
B1AN62	64802
P22760	13
Q96JF0	84620
P56746	24146
P05129	5582
P33151	1003
O75891	10840
Q05639	1917
Q9BWW7	83482
O60291	23295
Q9UPG8	5326
Q99436	5695
H3BNP7	1535
Q9C0B2	85452
Q16828	1848
Q13296	4250
Q9P107	51291
Q6ZSS7	54842
Q96A05	90423
Q8NEB5	84513
Q9Y2E6	23220
Q8WXK3	79754
Q5T6Z8	9528
Q14571	3709
Q92738	9712
Q9NYS7	55884
P40425	5089
Q96HE9	55771
Q5XKP0	125988
P14555	5320
P27707	1633
Q86VW0	91404
Q96PV7	54540
H3BLT4	332
Q9NSE4	55699
P13647	3852
O60542	5623
Q96JA1	26018
P50221	4222
P38117	2109
Q13795	10139
P16519	5126
Q9UPE1	26576
Q96HL8	26751
Q96AE7	55761
Q96GQ7	55661
Q9P0W2	10362
O43174	1592
P05496	516
Q86U90	79693
A0A087WZX9	284541
Q6BAA4	127943
Q04900	8763
Q9Y6J6	9992
H3BMC5	55238
A6NIX2	126374
Q8WX93	23022
P98164	4036
Q8TC92	55068
Q9H2D1	81034
Q8TBB1	84708
Q71F56	23389
Q96MA6	158067
Q8IYT3	80129
P09972	230
P08263	2938
E9PPN1	116461
A0A0D9SEN7	860
Q7Z4F1	26020
P80162	6372
Q9BTT0	81611
P08123	1278
O75330	3161
Q14055	1298
Q16875	5209
Q8N6M3	128486
Q9Y3D7	51025
Q8WYQ9	23174
Q16762	7263
Q5T1M5	23307
Q8NBM8	78991
O75400	55660
P04843	6184
P12318	2212
Q96JB6	84171
A0A0A0MR51	3992
P29590	5371
P32297	1136
P57081	10785
Q9ULK0	2894
A0A087X1K9	10434
P23141	1066
A0A088AWP5	158471
Q9NZ08	51752
Q9NQS1	57099
Q14739	3930
P22695	7385
C9JEH3	14
Q9UBP4	27122
P82094	7110
Q4V9L6	338773
Q15014	9643
A0A0C4DFM0	2954
P48051	3763
A0A0U1RRH1	6263
C9J1I0	137970
P18054	239
Q8WXH5	122809
O60312	57194
P12036	4744
Q6XR72	55532
Q15691	22919
Q7Z3J2	57020
Q9H4T2	80345
Q8TDG4	113510
Q9H3Q1	23580
O14678	5826
P50548	2077
Q8IY49	221938
Q9HAJ7	79685
Q06033	3699
Q9UBC5	4640
Q9Y2B5	9605
P22557	212
P01286	2691
Q99578	6014
Q9H4M7	57664
Q9Y5P4	10087
Q8N8N7	145482
P55042	6236
G3V1S7	3036
Q0JRZ9	115548
O95069	3776
O14796	117157
Q9UJG1	56180
P07204	7056
Q6P4F7	9824
Q9BZM6	80329
Q0VAM2	153020
Q8WVT3	51112
Q7Z4L9	286187
Q16769	25797
O43829	7541
Q9NVX0	55142
Q04721	4853
Q8N9L9	122970
P01563	3440
Q14993	1310
Q5J8M3	51234
Q96BZ8	79165
Q02388	1294
Q96FX7	115708
Q9Y2V7	57511
Q15542	6877
O15204	27299
Q96PE1	25960
P50750	1025
O00142	7084
Q9C0J9	79365
P47972	4885
Q68DD2	255189
O15054	23135
P19875	2920
Q96D71	85021
O60828	10084
A9UHW6	57409
Q9Y3M8	90627
Q765P7	92154
Q92915	2259
Q8IX03	23286
P02462	1282
Q9H2C0	8139
Q96H35	92400
P20248	890
P31321	5575
Q8TEA1	221078
Q5HYK3	84274
E7ET92	9885
Q6P4R8	4798
O15020	6712
Q8N766	23065
Q13115	1846
O94955	22836
E9PIC8	887
Q9UHP7	29121
Q99504	2140
P25106	57007
Q92752	7143
Q9UK39	25819
Q64LD2	79446
Q9C0K1	64116
P07237	5034
Q8N3T1	117248
Q9H6F2	79041
O14639	3983
Q5TC82	149041
Q04656	538
E7EW83	84658
Q14623	3549
O14793	2660
Q13324	1395
O75306	4720
Q9BT56	80763
O75078	4185
E9PCX7	23530
Q13509	10381
Q9UKG1	26060
Q9H503	140836
Q9NYX4	50632
Q9Y2P5	10998
Q9Y5X2	29886
P18405	6715
P23297	6271
Q9Y586	10586
A0A087X1W2	3276
Q13094	3937
Q9NQU5	106821730
Q9NQU5	56924
Q9Y271	10800
A0A087WWW8	23523
Q9H9S4	81617
Q14677	9685
O43809	11051
P00751	629
P15813	912
P04406	2597
Q13015	10962
Q9UBQ7	9380
P51572	10134
E7EPI8	84879
A0A0C4DFX9	7469
Q9BYG3	84365
Q15907	9230
Q9Y4B5	23255
J3KNG2	26262
P48960	976
P09871	716
Q7RTX0	83756
A4UGR9	129446
P09038	2247
P09543	1267
P13500	6347
P62310	27258
P20815	1577
Q96AA3	91869
Q8TDW7	120114
Q5TIE3	127731
E9PKC0	144100
A0A087WSW7	3070
Q15063	10631
A0A0A0MRK1	54865
P82673	60488
Q08211	1660
Q9HAW7	54577
Q04671	4948
Q5VZ89	55667
O15270	9517
Q9C0H6	56062
Q96JB8	58538
Q8NAB2	143879
Q969N4	83551
Q8NBE8	100526832
Q8NBE8	151230
O43194	2863
Q13635	5727
Q6PKC3	51061
Q96F81	84976
Q96GK7	51011
Q9ULD6	27152
Q9BSG5	83546
A6NDS4	414059
Q96JJ7	54495
Q1W6H9	642273
Q7L273	54793
Q8TAF8	222662
Q9UHI6	11218
A8K727	59339
O60294	9836
Q9BUV8	55969
P49755	10972
Q8N2M8	11129
O14863	7782
Q8NFW9	25924
Q9UPN3	23499
P32455	2633
Q9H000	23609
Q9NWM8	55033
P04049	5894
O75610	10637
A0A0C4DFP5	6095
Q07507	1805
B0YJ81	9200
Q9UHD4	27141
