# GO_ID	C0	C1	Gene	C3	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16
GO:0005509	UniProtKB	A0A024QZ42	PDCD6		GO_REF:0000002	IEA	InterPro:IPR002048	F	HCG1985580, isoform CRA_c	A0A024QZ42_HUMAN|PDCD6|hCG_1985580	protein	taxon:9606	20160409	InterPro		
GO:0004672	UniProtKB	A0A024QZP7	CDK1		GO_REF:0000002	IEA	InterPro:IPR000719|InterPro:IPR002290|InterPro:IPR008271	F	Cyclin-dependent kinase 1	A0A024QZP7_HUMAN|CDK1	protein	taxon:9606	20160409	InterPro		
GO:0005524	UniProtKB	A0A024QZP7	CDK1		GO_REF:0000038	IEA	UniProtKB-KW:KW-0067	F	Cyclin-dependent kinase 1	A0A024QZP7_HUMAN|CDK1	protein	taxon:9606	20160410	UniProt		
GO:0005634	UniProtKB	A0A024QZP7	CDK1		GO_REF:0000052	IDA		C	Cyclin-dependent kinase 1	A0A024QZP7_HUMAN|CDK1	protein	taxon:9606	20101115	HPA		
GO:0005737	UniProtKB	A0A024QZP7	CDK1		GO_REF:0000052	IDA		C	Cyclin-dependent kinase 1	A0A024QZP7_HUMAN|CDK1	protein	taxon:9606	20101115	HPA		
GO:0006468	UniProtKB	A0A024QZP7	CDK1		GO_REF:0000002	IEA	InterPro:IPR000719|InterPro:IPR002290|InterPro:IPR008271	P	Cyclin-dependent kinase 1	A0A024QZP7_HUMAN|CDK1	protein	taxon:9606	20160409	InterPro		
GO:0005615	UniProtKB	A0A024QZX5	SERPINB6		GO_REF:0000002	IEA	InterPro:IPR000215	C	Serpin B6	A0A024QZX5_HUMAN|SERPINB6|hCG_22875	protein	taxon:9606	20160409	InterPro		
GO:0006629	UniProtKB	A0A024R0T9	APOC2		GO_REF:0000002	IEA	InterPro:IPR008019	P	Apolipoprotein C-II isoform 1	A0A024R0T9_HUMAN|APOC2|APOC4-APOC2|hCG_20334	protein	taxon:9606	20160409	InterPro		
GO:0006869	UniProtKB	A0A024R0T9	APOC2		GO_REF:0000002	IEA	InterPro:IPR008019	P	Apolipoprotein C-II isoform 1	A0A024R0T9_HUMAN|APOC2|APOC4-APOC2|hCG_20334	protein	taxon:9606	20160409	InterPro		
GO:0008047	UniProtKB	A0A024R0T9	APOC2		GO_REF:0000002	IEA	InterPro:IPR008019	F	Apolipoprotein C-II isoform 1	A0A024R0T9_HUMAN|APOC2|APOC4-APOC2|hCG_20334	protein	taxon:9606	20160409	InterPro		
GO:0042627	UniProtKB	A0A024R0T9	APOC2		GO_REF:0000002	IEA	InterPro:IPR008019	C	Apolipoprotein C-II isoform 1	A0A024R0T9_HUMAN|APOC2|APOC4-APOC2|hCG_20334	protein	taxon:9606	20160409	InterPro		
GO:0043085	UniProtKB	A0A024R0T9	APOC2		GO_REF:0000002	IEA	InterPro:IPR008019	P	Apolipoprotein C-II isoform 1	A0A024R0T9_HUMAN|APOC2|APOC4-APOC2|hCG_20334	protein	taxon:9606	20160410	GOC		
GO:0001932	UniProtKB	A0A024R0Y4	TADA2L		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000018795	P	Transcriptional adapter 2-alpha	A0A024R0Y4_HUMAN|TADA2L|TADA2A|hCG_28187	protein	taxon:9606	20160409	Ensembl		
