Function,Gene
GO:0005509,10016
GO:0005615,5269
GO:0006629,344
GO:0006869,344
GO:0008047,344
GO:0042627,344
GO:0043085,344
GO:0001932,6871
GO:0003677,6871
GO:0005671,6871
GO:0006357,6871
GO:0007067,6871
GO:0016573,6871
GO:0031063,6871
GO:0031647,6871
GO:0072686,6871
GO:0090043,6871
GO:0007399,54886
GO:0016021,54886
GO:0004871,552891
GO:0005834,552891
GO:0007186,552891
GO:0008270,7703
GO:0005829,50810
GO:0007026,50810
GO:0008017,50810
GO:0031175,50810
GO:0046785,50810
GO:0005212,1410
GO:0001525,8828
GO:0005021,8828
GO:0007411,8828
GO:0017154,8828
GO:0038084,8828
GO:0046872,8828
GO:0071526,8828
GO:0003723,3069
GO:0003735,6203
GO:0006412,6203
GO:0015935,6203
GO:0019843,6203
GO:0000213,79042
GO:0000214,79042
GO:0000379,79042
GO:0016829,79042
GO:0090502,79042
GO:0005730,29844
GO:0031965,29844
GO:0005525,10938
GO:0005769,10938
GO:0005811,10938
GO:0005886,10938
GO:0006897,10938
GO:0010008,10938
GO:0010886,10938
GO:0030139,10938
GO:0031095,10938
GO:0032456,10938
GO:0034383,10938
GO:0042632,10938
GO:0043209,10938
GO:0048471,10938
GO:1901741,10938
GO:1990090,10938
GO:2001137,10938
GO:0001889,11309
GO:0015125,11309
GO:0015347,11309
GO:0015721,11309
GO:0016324,11309
GO:0071718,11309
GO:0005764,1203
GO:0005775,1203
GO:0007040,1203
GO:0007601,1203
GO:0022008,1203
GO:0008152,8824
GO:0016787,8824
GO:0005576,2657
GO:0008083,2657
GO:0004298,5683
GO:0006511,5683
GO:0019773,5683
GO:0005840,6171
GO:0005739,56616
GO:0006919,56616
GO:0006955,100507436
GO:0003700,7741
GO:0003777,1769
GO:0007018,1769
GO:0016887,1769
GO:0030286,1769
GO:0097228,1769
GO:0001570,84700
GO:0001701,84700
GO:0003774,84700
GO:0005813,84700
GO:0016459,84700
GO:0030018,84700
GO:0031941,84700
GO:0048739,84700
GO:0000132,79648
GO:0005623,79648
GO:0010468,79648
GO:0021987,79648
GO:0043549,79648
GO:0046605,79648
GO:0050727,79648
GO:0060348,79648
GO:0060623,79648
GO:0071539,79648
GO:0097150,79648
GO:0050999,51070
GO:0004725,11122
GO:0016020,11122
GO:0016790,11122
GO:0035335,11122
GO:0051393,11122
GO:0009058,137682
GO:0016740,137682
GO:0007266,5175
GO:0030334,5175
GO:0030485,5175
GO:0042060,5175
GO:0042523,5175
GO:0005743,54460
GO:0003682,57597
GO:0045944,136259
GO:1902070,136259
GO:0000413,728945
GO:0000413,730262
GO:0003755,728945
GO:0003755,730262
GO:0006457,728945
GO:0006457,730262
GO:0004806,5408
GO:0016042,5408
GO:0005882,23336
GO:0008307,23336
GO:0045104,23336
GO:0007165,23380
GO:0003796,57151
GO:0004386,3070
GO:0004713,4593
GO:0018108,4593
GO:0004181,1361
GO:0005903,89
GO:0006936,89
GO:0014728,89
GO:0014732,89
GO:0014883,89
GO:0014894,89
GO:0031448,89
GO:0045820,89
GO:0048633,89
GO:0048743,89
GO:0051015,89
GO:0060349,89
GO:0070885,89
GO:0090324,89
GO:1900159,89
GO:1901078,89
GO:1903715,89
GO:1904025,89
GO:0016491,317749
GO:0007283,56111
GO:0005179,100526739
GO:0046982,100526739
GO:0006915,7157
GO:0007049,7157
GO:0044212,7157
GO:0050853,54923
GO:0008643,29988
GO:0022857,29988
GO:0004392,3163
GO:0006788,3163
GO:0042981,4170
GO:0030513,375616
GO:0006835,6507
GO:0017153,6507
GO:0004896,3570
GO:0019221,3570
GO:0004843,7347
GO:0004497,51302
GO:0060271,138639
GO:0009607,100862671
GO:0007605,65217
GO:0032420,65217
GO:0048839,65217
GO:0043066,4194
GO:0071157,4194
GO:0000226,10426
GO:0000922,10426
GO:0090063,10426
GO:0061617,440574
GO:0030159,80852
GO:0004674,10769
GO:0005109,6259
GO:0016055,6259
GO:0017147,6259
GO:0022038,6259
GO:0036518,6259
GO:0042813,6259
GO:0048705,6259
GO:0048843,6259
GO:0071542,6259
GO:0071679,6259
GO:0019013,9987
GO:0030529,9987
GO:0006120,100532726
GO:0008137,100532726
GO:0005680,119504
GO:0036064,25776
GO:0042384,25776
GO:0045444,25776
GO:0055007,25776
GO:0090090,25776
GO:0004882,367
GO:0005496,367
GO:0030521,367
GO:0032922,8863
GO:0072687,79866
GO:0005092,26086
GO:0008277,26086
