From	To
A0A024QZ42	10016
A0A024QZX5	5269
A0A024R0T9	344
A0A024R0Y4	6871
A0A024R154	54886
A0A024R161	552891
A0A024R1V6	7703
A0A024R216	50810
A0A024R3B9	1410
A0A024R3W6	8828
A0A024R4E5	3069
A0A024R4M0	6203
A0A024R4N9	79042
A0A024R4Q5	29844
A0A024R571	10938
A0A024R5I4	11309
A0A024R644	1203
A0A024R6X1	8824
A0A024R7N8	2657
A0A024RA52	5683
A0A024RB15	6171
A0A024RBT2	56616
A0A024RCL3	100507436
A0A024RCN4	7741
A0A075B6F3	1769
A0A075B6F5	84700
A0A075B6F8	79648
A0A075B6F9	51070
A0A075B6H0	11122
A0A075B6P0	137682
A0A075B738	5175
A0A075B746	54460
A0A075B747	57597
A0A075B756	136259
A0A075B759	728945
A0A075B759	730262
A0A075B781	5408
A0A075B7B1	23336
A0A075B7B5	23380
A0A080YUZ6	57151
A0A087WSW7	3070
A0A087WSY1	4593
A0A087WSY5	1361
A0A087WSZ2	89
A0A087WSZ6	317749
A0A087WT05	56111
A0A087WT10	100526739
A0A087WT22	7157
A0A087WT39	54923
A0A087WT42	29988
A0A087WT44	3163
A0A087WT64	4170
A0A087WT73	375616
A0A087WT87	6507
A0A087WTB5	3570
A0A087WTB8	7347
A0A087WTD2	51302
A0A087WTF0	138639
A0A087WTH1	100862671
A0A087WTR6	65217
A0A087WTR9	4194
A0A087WU06	10426
A0A087WU07	440574
A0A087WU38	80852
A0A087WUH9	10769
A0A087WUK1	6259
A0A087WUK2	9987
A0A087WUM3	100532726
A0A087WUN5	119504
A0A087WUW0	25776
A0A087WUX9	367
A0A087WV69	8863
A0A087WV86	79866
A0A087WVF5	26086
A0A087WVM4	25902
A0A087WVQ6	1213
A0A087WVR3	29128
A0A087WVS7	27124
A0A087WVT3	313
A0A087WVT9	4833
A0A087WVY3	5982
A0A087WW23	241
A0A087WW40	51100
A0A087WW44	2176
A0A087WW65	22
A0A087WW88	25978
A0A087WW96	6854
A0A087WWF6	5425
A0A087WWK8	9922
A0A087WWM0	27095
A0A087WWS6	3447
A0A087WWT2	51299
A0A087WWV9	27019
A0A087WWW8	23523
A0A087WX34	23322
A0A087WXD1	84679
A0A087WXF8	51538
A0A087WXG3	128408
A0A087WXL6	55823
A0A087WXM9	728637
A0A087WXV4	3172
A0A087WY59	83480
A0A087WY96	6533
A0A087WYD5	2967
A0A087WYF6	387680
A0A087WYI6	100133941
A0A087WYJ0	3782
A0A087WYL5	26470
A0A087WYL7	10001
A0A087WYT3	10728
A0A087WYZ4	1081
A0A087WZ19	580
A0A087WZ30	9401
A0A087WZ40	9053
A0A087WZ82	100533181
A0A087WZB5	29780
A0A087WZC3	6847
A0A087WZE9	9324
A0A087WZI7	115111
A0A087WZN1	3420
A0A087WZQ7	63908
A0A087WZT4	26279
A0A087WZT7	2622
A0A087WZU1	374462
A0A087WZV0	23262
A0A087WZX8	8447
A0A087WZY3	7840
A0A087WZY6	387712
A0A087X004	27165
A0A087X018	66035
A0A087X0E6	652991
A0A087X0H5	2690
A0A087X0I3	51816
A0A087X0I6	4139
A0A087X0K8	440435
A0A087X0T5	123803
A0A087X163	22931
A0A087X169	26147
A0A087X1C5	1564
A0A087X1E4	23647
A0A087X1G1	4698
A0A087X1P5	64708
A0A087X1R4	9589
A0A087X1S6	84725
A0A087X1S7	962
A0A087X282	30851
A0A087X295	11180
A0A087X296	5742
A0A087X2A4	4582
A0A087X2I1	5706
A0A087X2I7	4261
A0A088AWP5	158471
A0A096LNP1	100129216
A0A096LNV2	90342
A0A096LP07	2873
A0A096LP55	440567
A0A096LPE2	100528017
A0A0A0MQR1	11183
A0A0A0MQS7	3292
A0A0A0MQS9	3910
A0A0A0MQT0	5947
A0A0A0MQU6	57556
A0A0A0MR46	375316
A0A0A0MR51	3992
A0A0A0MR66	8241
A0A0A0MR89	9369
A0A0A0MR98	65220
A0A0A0MRA8	23136
A0A0A0MRG2	351
A0A0A0MRI2	58533
A0A0A0MRJ6	5110
A0A0A0MRK5	387103
A0A0A0MRK6	4580
A0A0A0MRL7	840
A0A0A0MRM2	4892
A0A0A0MRP2	8790
A0A0A0MRP6	6594
A0A0A0MRS4	55151
A0A0A0MRT6	10006
A0A0A0MRV0	6238
A0A0A0MRV2	84650
A0A0A0MRX4	57139
A0A0A0MS51	2934
A0A0A0MS52	818
A0A0A0MS69	5137
A0A0A0MS77	3601
A0A0A0MSC1	109
A0A0A0MSC5	2492
A0A0A0MSE3	185
A0A0A0MSI3	9317
A0A0A0MSK4	26086
A0A0A0MST0	4615
A0A0A0MSV9	6892
A0A0A0MSY9	2145
A0A0A0MSZ4	2232
A0A0A0MT22	5788
A0A0A0MT35	127281
A0A0A0MT39	6331
A0A0A0MT64	2232
A0A0A0MT80	50651
A0A0A0MT83	3712
A0A0A0MTC9	6440
A0A0A0MTE2	4008
A0A0A0MTF1	11309
A0A0A0MTG5	3574
A0A0A0MTI2	10603
A0A0A0MTJ0	7253
A0A0A0MTJ9	57552
A0A0A0MTL7	6934
A0A0A0MTM3	10370
A0A0A0MTQ4	56963
A0A0A6YY94	63923
A0A0A6YY96	3658
A0A0A6YY98	56302
A0A0A6YY99	407977
A0A0A6YYG5	286749
A0A0A6YYG9	100526693
A0A0A6YYJ4	7033
A0A0A6YYL1	100528021
A0A0B4J1S2	83953
A0A0B4J1S8	5298
A0A0B4J1T8	285220
A0A0B4J1V9	3070
A0A0B4J1W2	131540
A0A0B4J202	10874
A0A0B4J2A0	23729
A0A0B4J2C3	7178
A0A0B4J2E9	2206
A0A0C3SFZ9	23149
A0A0C4DFL7	1595
A0A0C4DFL8	23030
A0A0C4DFM0	2954
A0A0C4DFM7	23318
A0A0C4DFN1	55669
A0A0C4DFN2	2646
A0A0C4DFQ5	9622
A0A0C4DFR8	8409
A0A0C4DFS6	81848
A0A0C4DFT5	65010
A0A0C4DFT7	2993
A0A0C4DFT9	25861
A0A0C4DFW2	3621
A0A0C4DFX3	11117
A0A0C4DFX9	7469
A0A0C4DFZ2	410
A0A0C4DG02	1788
A0A0C4DG07	4683
A0A0C4DG17	3921
A0A0C4DG33	5189
A0A0C4DGA6	6596
A0A0C4DGB1	27292
A0A0C4DGC4	81669
A0A0C4DGK1	10914
A0A0C4DGL3	1854
A0A0C4DGL8	3240
A0A0C4DGT6	65057
A0A0C4DGU8	79791
A0A0C4DGV4	10542
A0A0C4DGV9	3981
A0A0C4DGX8	537
A0A0C4DGX9	123016
A0A0C4DH47	6916
A0A0C4DH71	51227
A0A0C4DH75	4355
